Düzey	Tarih ve Saat	Kaynak	Olay Kimliği	Görev Kategorisi
Bilgi	19.10.2021 19:12:49	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0x834
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
Bilgi	17.10.2021 20:52:38	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0xab4
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
Bilgi	17.10.2021 20:06:52	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0xab4
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
Bilgi	17.10.2021 20:05:42	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0xab4
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
Bilgi	17.10.2021 19:58:33	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0xab4
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
Bilgi	17.10.2021 19:58:32	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0xab4
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
Bilgi	17.10.2021 10:22:34	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0xab4
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
Bilgi	16.10.2021 13:39:13	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0xab4
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
Bilgi	16.10.2021 13:39:10	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0xab4
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
Bilgi	16.10.2021 07:28:49	Microsoft-Windows-Security-Auditing	4625	Logon	"Bir hesap oturum açamadı.

Konu:
	Güvenlik Kimliği:		SYSTEM
	Hesap Adı:		MERVE$
	Hesap Etki Alanı:		WORKGROUP
	Oturum Açma Kimliği:		0x3E7

Oturum Türü:			2

Oturumu Açılamayan Hesap:
	Güvenlik Kimliği:		NULL SID
	Hesap Adı:		Asus
	Hesap Etki Alanı:		MERVE

Hata Bilgileri:
	Hata Nedeni:		Bilinmeyen kullanıcı adı veya yanlış parola.
	Durum:			0xC000006D
	Alt Durum:		0xC000006A

İşlem Bilgileri:
	Çağıran İşlem Kimliği:	0xab4
	Çağıran İşlem Adı:	C:\Windows\System32\svchost.exe

Ağ Bilgileri:
	İş İstasyonu Adı:	MERVE
	Kaynak Ağ Adresi:	127.0.0.1
	Kaynak Bağlantı Noktası:		0

Ayrıntılı Kimlik Doğrulama Bilgileri:
	Oturum Açma İşlemi:		User32 
	Kimlik Doğrulama Paketi:	Negotiate
	Aktarılan Hizmetler:	-
	Paket Adı (yalnızca NTLM):	-
	Anahtar Uzunluğu:		0

Bu olay bir oturum açma isteği başarısız olduğunda oluşturulur. Erişilmeye çalışılan bilgisayarda oluşturulur.

Konu alanları oturum açmayı isteyen yerel sistemdeki hesabı belirtir. Bu genellikle Sistemi hizmeti gibi bir hizmet ya da Winlogon.exe veya Services.exe gibi yerel bir işlemdir.

Oturum Türü alanı istenen oturum açma türünü gösterir. En yaygın türler 2 (etkileşimli) ve 3'tür (ağ).

İşlem Bilgileri alanları, sistemdeki hangi hesabın ve işlemin oturum açmayı istediğini gösterir.

Ağ Bilgileri alanları, bir uzaktan oturum açma isteğinin kaynağını gösterir. İş İstasyonu Adı her zaman yoktur ve bazı durumlarda boş olabilir.

Kimlik Doğrulama Bilgileri alanları bu oturum açma isteğine özel ayrıntılı bilgiler sağlar.
	- Aktarılan Hizmetler, bu oturum açma isteğine katılan ara hizmetleri gösterir.
	- Paket Adı, NTLM protokolleri arasında hangi alt protokolün kullanıldığını gösterir.
	- Anahtar Uzunluğu, oluşturulan oturum anahtarının uzunluğunu gösterir. Oturum anahtarı istenmediyse bu 0 olur."
